,Employee_ID,Date_of_Joining,Gender,Company_Type,WFH_Setup_Available,Designation,Resource_Allocation,Mental_Fatigue_Score,Burn_Rate
8847,fffe31003700380031003400,2008-05-06,Female,Service,Yes,2.0,2.0,3.4,0.29
4923,fffe32003500360035003900,2008-05-31,Male,Service,No,4.0,8.0,7.4,0.66
4625,fffe31003900370032003400,2008-10-18,Female,Product,Yes,3.0,5.0,4.4,0.32
1950,fffe3600340039003800,2008-08-23,Male,Service,No,0.0,1.0,3.2,0.21
9704,fffe31003400360035003100,2008-05-11,Male,Service,No,1.0,3.0,4.4,0.37
11052,fffe31003600350034003500,2008-09-15,Male,Product,Yes,0.0,1.0,0.0,0.0
265,fffe32003900310031003300,2008-12-19,Male,Product,Yes,2.0,6.0,5.6,0.51
13886,fffe32003800370035003800,2008-05-02,Female,Product,No,0.0,1.0,1.9,0.09
913,fffe3900360037003300,2008-11-28,Female,Service,Yes,1.0,4.0,5.9,0.51
342,fffe32003400310034003700,2008-08-15,Female,Product,No,1.0,1.0,3.2,0.24
11380,fffe31003700370037003200,2008-06-02,Male,Service,Yes,0.0,1.0,5.6,0.35
7574,fffe360037003600,2008-08-04,Male,Service,Yes,3.0,6.0,4.7,0.42
2785,fffe3500300035003300,2008-12-16,Male,Service,Yes,0.0,1.0,1.7,0.04
3803,fffe32003500360037003700,2008-11-04,Male,Product,No,3.0,5.0,4.7,0.37
14673,fffe32003700390033003500,2008-01-06,Female,Service,Yes,2.0,4.0,4.3,0.35
22416,fffe31003500350038003200,2008-07-03,Male,Product,Yes,2.0,4.0,5.3,0.41
14884,fffe32003800320032003500,2008-05-02,Female,Product,Yes,2.0,4.0,6.1,0.47
6953,fffe31003800380035003600,2008-10-08,Male,Service,Yes,2.0,5.0,5.5,0.43
11930,fffe33003200330039003300,2008-02-04,Male,Service,No,3.0,5.0,7.3,0.52
6989,fffe32003600350034003400,2008-02-19,Female,Service,No,4.0,6.0,7.0,0.59
11247,fffe32003800320039003700,2008-04-07,Female,Service,No,1.0,2.0,6.3,0.49
17062,fffe33003000350039003400,2008-08-25,Male,Product,No,3.0,5.0,6.5,0.52
2671,fffe32003100320036003200,2008-04-30,Female,Service,No,2.0,6.0,5.9,0.54
7453,fffe3200380034003800,2008-10-22,Female,Product,Yes,1.0,3.0,2.3,0.12
5991,fffe31003600380031003000,2008-05-27,Female,Service,Yes,1.0,4.0,4.2,0.37
20374,fffe3800320035003600,2008-06-04,Female,Service,Yes,1.0,2.0,6.2,0.41
14024,fffe33003000330030003000,2008-03-21,Male,Product,Yes,4.0,7.0,6.1,0.55
11841,fffe33003000310037003900,2008-12-10,Male,Service,No,3.0,5.0,6.7,0.55
16657,fffe3600330036003700,2008-01-10,Male,Service,No,4.0,7.0,6.5,0.61
6078,fffe31003400350038003800,2008-01-12,Female,Service,Yes,1.0,2.0,3.4,0.17
18750,fffe32003600380037003500,2008-09-02,Male,Service,No,2.0,6.0,7.5,0.69
516,fffe33003200360038003800,2008-02-14,Female,Service,No,3.0,5.0,4.2,0.31
21145,fffe31003700320037003000,2008-09-17,Female,Product,Yes,1.0,2.0,3.3,0.25
13097,fffe32003900350033003000,2008-06-17,Male,Product,No,3.0,5.0,5.3,0.49
3065,fffe31003100330034003100,2008-02-17,Female,Service,Yes,1.0,2.0,4.9,0.35
10099,fffe32003500360033003400,2008-02-19,Female,Service,No,2.0,5.0,7.6,0.66
6506,fffe3400300030003400,2008-01-24,Male,Service,No,2.0,4.0,5.4,0.31
31,fffe3500380031003000,2008-12-16,Female,Service,Yes,1.0,2.0,3.9,0.2
21996,fffe3400320031003000,2008-12-28,Female,Product,Yes,2.0,5.0,4.4,0.39
7930,fffe33003300310031003500,2008-11-16,Female,Service,Yes,1.0,1.0,0.0,0.0
16649,fffe32003300370038003100,2008-09-24,Female,Service,Yes,2.0,3.0,5.4,0.46
8389,fffe32003900300039003600,2008-08-30,Male,Service,Yes,3.0,4.0,5.6,0.46
16800,fffe3700380030003600,2008-03-31,Female,Product,No,1.0,3.0,4.8,0.33
2883,fffe32003200340037003400,2008-04-05,Male,Service,Yes,3.0,4.0,5.2,0.35
11471,fffe3900340031003000,2008-01-25,Male,Service,No,3.0,7.0,7.6,0.61
12288,fffe3400360034003900,2008-10-28,Male,Product,Yes,3.0,6.0,5.8,0.37
7321,fffe31003700370036003300,2008-04-25,Male,Product,No,3.0,7.0,7.4,0.52
21573,fffe33003100300038003900,2008-11-06,Male,Service,No,4.0,7.0,7.2,0.62
20096,fffe32003800310035003000,2008-07-24,Male,Service,No,3.0,7.0,7.7,0.61
10449,fffe3500350034003100,2008-08-24,Male,Service,No,4.0,8.0,8.3,0.76
19180,fffe31003600310031003100,2008-09-07,Male,Service,Yes,2.0,5.0,4.9,0.33
11833,fffe33003100370034003600,2008-02-22,Female,Service,Yes,1.0,2.0,4.0,0.24
8137,fffe31003200350034003600,2008-05-23,Female,Service,Yes,1.0,2.0,4.7,0.27
8546,fffe33003200360030003800,2008-04-14,Female,Product,Yes,1.0,3.0,4.1,0.34
9147,fffe3400310032003000,2008-08-03,Male,Service,No,2.0,4.0,6.1,0.51
19699,fffe33003300310034003700,2008-08-15,Female,Product,No,4.0,7.0,8.3,0.77
2619,fffe32003700370031003900,2008-11-03,Male,Service,Yes,0.0,1.0,3.8,0.25
5028,fffe32003200360037003400,2008-07-28,Female,Service,Yes,1.0,3.0,3.3,0.27
5243,fffe3600380039003600,2008-10-14,Female,Service,Yes,2.0,4.0,4.1,0.34
10585,fffe32003900300038003100,2008-11-15,Female,Service,No,2.0,5.0,7.6,0.55
10432,fffe33003000370039003100,2008-03-25,Female,Product,Yes,0.0,1.0,3.6,0.17
7520,fffe32003900390031003500,2008-10-05,Female,Product,No,2.0,4.0,6.5,0.54
20931,fffe3300370034003200,2008-05-29,Female,Service,No,4.0,7.0,7.4,0.72
13689,fffe32003300390035003800,2008-03-05,Male,Product,No,3.0,7.0,9.8,0.83
11340,fffe33003400300030003300,2008-06-24,Female,Product,No,3.0,7.0,8.7,0.86
10410,fffe32003200360035003100,2008-05-22,Female,Service,Yes,2.0,4.0,4.9,0.34
18216,fffe33003300380033003600,2008-12-26,Female,Service,Yes,1.0,3.0,5.1,0.41
10295,fffe3500370031003400,2008-06-19,Female,Service,No,3.0,6.0,6.6,0.52
15778,fffe31003500300031003700,2008-08-11,Female,Service,No,2.0,3.0,6.6,0.43
13657,fffe3400380032003900,2008-02-18,Male,Product,No,5.0,9.0,9.6,0.96
8813,fffe32003300330038003800,2008-09-04,Male,Service,No,3.0,6.0,6.9,0.64
14807,fffe33003000390032003300,2008-05-11,Male,Product,Yes,1.0,2.0,4.5,0.26
6766,fffe33003000390033003900,2008-08-01,Female,Service,Yes,2.0,5.0,7.0,0.56
13981,fffe3100320030003200,2008-01-25,Male,Service,No,2.0,5.0,6.3,0.51
1059,fffe380039003400,2008-03-16,Female,Product,No,2.0,3.0,6.3,0.42
15378,fffe32003900310038003200,2008-09-28,Male,Service,Yes,0.0,1.0,2.5,0.12
16491,fffe3200350039003700,2008-04-08,Female,Service,Yes,2.0,3.0,5.9,0.39
4602,fffe31003100360039003100,2008-05-11,Female,Product,No,3.0,7.0,6.2,0.53
4266,fffe3500340039003200,2008-11-22,Male,Product,No,0.0,1.0,4.4,0.27
4062,fffe31003300380030003500,2008-10-19,Male,Service,No,0.0,1.0,1.0,0.03
17615,fffe33003300310035003200,2008-04-27,Female,Product,Yes,3.0,7.0,7.9,0.62
4643,fffe32003800310038003700,2008-09-28,Male,Service,Yes,2.0,5.0,6.3,0.56
22676,fffe31003700300033003200,2008-02-10,Female,Service,No,3.0,5.0,6.2,0.4
12437,fffe32003600360037003300,2008-11-16,Male,Product,No,4.0,7.0,6.9,0.54
14772,fffe32003500390031003800,2008-04-24,Female,Service,Yes,0.0,1.0,4.0,0.24
4839,fffe33003400350034003800,2008-01-07,Female,Product,Yes,1.0,3.0,5.8,0.39
6841,fffe310030003200,2008-02-13,Male,Service,Yes,4.0,7.0,7.1,0.66
10046,fffe33003400330037003300,2008-03-08,Male,Service,Yes,1.0,3.0,2.5,0.13
6223,fffe32003700340030003300,2008-07-08,Male,Service,Yes,0.0,1.0,2.2,0.14
2574,fffe3100340039003300,2008-09-08,Male,Product,Yes,0.0,2.0,3.3,0.24
13814,fffe31003600370037003000,2008-07-20,Male,Product,Yes,0.0,2.0,3.7,0.21
13950,fffe32003700340030003500,2008-01-25,Male,Service,No,3.0,6.0,7.2,0.56
9505,fffe32003300340039003100,2008-04-19,Male,Service,No,1.0,2.0,4.8,0.24
8871,fffe32003700380035003200,2008-08-23,Female,Service,Yes,2.0,5.0,5.2,0.45
4968,fffe33003200350035003500,2008-09-21,Female,Product,No,3.0,6.0,6.2,0.59
6873,fffe31003400310030003600,2008-02-23,Male,Service,No,4.0,7.0,8.2,0.66
15195,fffe380036003000,2008-11-15,Male,Service,No,5.0,9.0,9.2,0.9
11302,fffe31003900370038003700,2008-06-14,Female,Service,No,2.0,4.0,4.0,0.21
9198,fffe3400330038003000,2008-12-02,Female,Product,No,2.0,4.0,6.7,0.57
16376,fffe31003700360035003000,2008-08-30,Female,Product,No,5.0,9.0,8.6,0.89
2978,fffe32003900340038003800,2008-12-14,Female,Product,No,0.0,2.0,4.6,0.33
14968,fffe33003400370032003600,2008-06-14,Female,Service,No,4.0,8.0,8.1,0.78
9520,fffe31003100330031003300,2008-03-20,Female,Product,Yes,1.0,2.0,4.1,0.35
15496,fffe31003500320034003600,2008-04-11,Female,Service,Yes,2.0,3.0,5.6,0.39
8591,fffe31003000340032003500,2008-11-24,Male,Product,No,2.0,4.0,4.3,0.32
3453,fffe32003200380035003000,2008-05-02,Male,Service,No,4.0,9.0,7.8,0.72
2922,fffe3500330037003500,2008-01-18,Male,Product,No,1.0,3.0,6.7,0.48
22252,fffe3600310039003600,2008-01-29,Female,Service,No,2.0,3.0,4.1,0.28
18337,fffe32003100370039003400,2008-02-16,Male,Product,Yes,2.0,4.0,5.5,0.35
21261,fffe3500360032003400,2008-03-15,Female,Service,Yes,3.0,6.0,6.1,0.47
7896,fffe33003100310035003100,2008-03-02,Male,Product,No,3.0,7.0,7.5,0.59
13254,fffe32003100340038003200,2008-10-15,Male,Service,No,3.0,6.0,7.1,0.67
16119,fffe32003700320031003500,2008-08-24,Male,Service,No,3.0,7.0,8.1,0.71
16418,fffe32003600360039003300,2008-11-25,Male,Product,No,4.0,8.0,6.4,0.57
16173,fffe31003700370030003100,2008-01-28,Female,Service,Yes,1.0,4.0,5.1,0.31
20408,fffe31003400340034003100,2008-06-27,Female,Service,No,4.0,6.0,5.9,0.55
9475,fffe32003800380030003000,2008-08-13,Female,Product,Yes,3.0,5.0,6.2,0.43
460,fffe31003800380033003700,2008-02-02,Female,Service,Yes,2.0,4.0,5.5,0.45
9412,fffe3100300030003900,2008-01-23,Male,Product,Yes,2.0,1.0,2.7,0.08
21325,fffe32003900360037003000,2008-07-26,Female,Service,Yes,1.0,4.0,5.3,0.3
2266,fffe32003800330037003900,2008-04-09,Female,Service,Yes,0.0,2.0,4.1,0.32
1480,fffe32003900340034003500,2008-10-13,Male,Service,No,2.0,4.0,6.9,0.52
14816,fffe32003300350033003600,2008-11-04,Male,Service,Yes,2.0,4.0,4.5,0.36
1813,fffe32003100320036003900,2008-04-19,Male,Service,Yes,1.0,2.0,4.9,0.38
16938,fffe31003300300033003100,2008-07-28,Male,Service,No,3.0,5.0,5.5,0.44
8473,fffe33003200320036003100,2008-03-25,Female,Service,Yes,3.0,7.0,8.1,0.61
5097,fffe33003200390033003200,2008-05-03,Male,Service,Yes,2.0,3.0,4.4,0.29
19837,fffe31003600380039003100,2008-08-20,Male,Service,No,4.0,8.0,8.5,0.85
22209,fffe32003800300034003800,2008-02-10,Male,Service,Yes,3.0,6.0,5.3,0.34
15126,fffe32003400350034003100,2008-10-23,Female,Product,No,2.0,5.0,6.1,0.46
21899,fffe31003300320037003100,2008-04-19,Female,Service,Yes,1.0,2.0,4.8,0.36
7949,fffe33003400300039003800,2008-01-22,Female,Service,Yes,2.0,4.0,4.2,0.36
11866,fffe32003700390038003600,2008-08-07,Female,Product,No,2.0,4.0,4.6,0.41
13756,fffe32003200300031003100,2008-07-31,Female,Service,Yes,2.0,5.0,5.9,0.48
5511,fffe32003800350035003000,2008-02-09,Female,Service,Yes,3.0,6.0,7.3,0.67
17784,fffe32003400310036003600,2008-06-04,Female,Product,Yes,3.0,6.0,6.7,0.56
21756,fffe33003400310031003100,2008-04-15,Female,Product,Yes,3.0,5.0,6.3,0.61
1758,fffe32003000300034003300,2008-11-06,Male,Service,No,3.0,6.0,8.3,0.69
21501,fffe33003000310039003600,2008-11-25,Male,Product,Yes,3.0,6.0,4.9,0.38
3636,fffe31003900370038003500,2008-12-28,Male,Product,No,4.0,7.0,8.1,0.66
13388,fffe31003800360037003700,2008-02-08,Female,Service,Yes,1.0,3.0,2.8,0.21
1759,fffe31003600390038003100,2008-08-05,Male,Product,Yes,2.0,4.0,2.9,0.2
15949,fffe3100310038003400,2008-05-13,Male,Service,No,2.0,4.0,6.0,0.53
12000,fffe32003200350039003500,2008-08-30,Female,Product,Yes,3.0,8.0,9.8,0.96
12779,fffe32003300350038003700,2008-08-26,Female,Service,No,4.0,7.0,6.7,0.57
19417,fffe33003200390033003700,2008-02-18,Female,Service,Yes,0.0,1.0,2.5,0.09
7669,fffe31003100320032003900,2008-09-03,Female,Service,No,2.0,4.0,5.0,0.34
21950,fffe32003400390035003600,2008-01-27,Male,Product,Yes,3.0,7.0,6.0,0.55
6939,fffe32003800300037003600,2008-02-10,Female,Product,No,1.0,2.0,6.1,0.37
11400,fffe320035003000,2008-03-06,Male,Service,Yes,2.0,4.0,3.7,0.29
11687,fffe33003400340034003800,2008-10-01,Male,Service,No,2.0,5.0,8.1,0.63
22262,fffe32003500310034003300,2008-11-25,Female,Product,No,2.0,5.0,7.7,0.56
8528,fffe32003600360033003000,2008-12-24,Male,Service,No,3.0,7.0,9.4,0.81
16993,fffe31003200310038003000,2008-10-12,Female,Service,Yes,2.0,4.0,5.1,0.41
11300,fffe3500320037003300,2008-07-18,Female,Service,No,3.0,5.0,6.2,0.39
8548,fffe33003200380033003600,2008-04-20,Female,Product,No,2.0,5.0,5.8,0.35
11365,fffe32003200340033003300,2008-02-02,Female,Product,No,3.0,7.0,9.3,0.86
22076,fffe340032003200,2008-09-01,Female,Product,No,1.0,3.0,4.7,0.42
18958,fffe32003000380037003200,2008-01-09,Female,Product,Yes,3.0,4.0,5.8,0.43
15153,fffe33003200350030003900,2008-12-05,Female,Service,Yes,2.0,5.0,5.2,0.34
10399,fffe33003200360033003900,2008-08-25,Male,Service,Yes,2.0,3.0,5.1,0.27
7103,fffe3400320031003900,2008-05-21,Male,Service,Yes,2.0,4.0,5.4,0.38
7695,fffe32003400360036003600,2008-09-11,Female,Service,Yes,5.0,10.0,9.5,0.9
21317,fffe32003600320031003200,2008-07-10,Female,Product,Yes,1.0,2.0,4.8,0.4
3083,fffe3100310034003100,2008-06-01,Male,Service,No,2.0,5.0,7.3,0.51
4041,fffe33003300380033003200,2008-12-21,Female,Service,Yes,3.0,7.0,8.8,0.7
9845,fffe3700310032003700,2008-04-19,Male,Service,No,2.0,3.0,4.2,0.29
4430,fffe31003800390032003900,2008-01-15,Male,Product,Yes,1.0,3.0,4.9,0.25
15686,fffe32003900300037003800,2008-03-18,Male,Product,Yes,2.0,3.0,4.1,0.33
15404,fffe32003100340039003200,2008-02-01,Female,Product,Yes,2.0,4.0,6.4,0.55
2153,fffe33003000320033003200,2008-03-30,Female,Product,Yes,3.0,4.0,4.9,0.27
6679,fffe3100360034003200,2008-07-03,Female,Service,Yes,2.0,4.0,5.9,0.42
3495,fffe3500390039003000,2008-10-17,Male,Product,Yes,1.0,3.0,3.7,0.23
7877,fffe32003200320032003300,2008-03-12,Male,Product,No,3.0,6.0,8.4,0.85
16303,fffe31003500340035003300,2008-10-02,Female,Service,No,1.0,2.0,3.0,0.19
9205,fffe32003500320031003900,2008-09-13,Female,Service,Yes,1.0,3.0,5.7,0.42
16047,fffe3500350032003100,2008-09-09,Female,Service,No,2.0,4.0,5.4,0.49
511,fffe32003300380036003600,2008-07-14,Female,Service,Yes,1.0,2.0,3.3,0.24
12168,fffe32003200370037003100,2008-06-04,Female,Product,Yes,2.0,3.0,3.2,0.23
13286,fffe32003600310033003600,2008-03-13,Female,Service,No,5.0,10.0,9.4,1.0
22514,fffe31003500380039003000,2008-09-28,Female,Service,No,4.0,8.0,7.2,0.66
12378,fffe3500340030003300,2008-11-04,Female,Service,No,1.0,2.0,4.8,0.27
15175,fffe3200300039003200,2008-09-02,Male,Service,No,2.0,5.0,6.4,0.55
9762,fffe31003800330034003600,2008-04-02,Female,Service,Yes,3.0,5.0,5.4,0.36
11080,fffe3600380035003900,2008-01-24,Female,Service,Yes,2.0,4.0,3.7,0.32
2210,fffe31003800340031003600,2008-12-03,Female,Service,Yes,2.0,4.0,4.4,0.3
12320,fffe32003400350036003400,2008-04-27,Female,Service,Yes,1.0,3.0,2.0,0.13
18620,fffe31003400330039003800,2008-12-02,Female,Service,No,2.0,3.0,5.6,0.32
12949,fffe32003000320033003700,2008-06-14,Female,Service,Yes,3.0,5.0,5.9,0.44
3474,fffe31003900350032003600,2008-07-09,Female,Product,No,1.0,2.0,4.7,0.23
14129,fffe32003400340038003000,2008-10-19,Female,Service,Yes,1.0,2.0,5.6,0.42
20298,fffe3100300039003600,2008-12-12,Male,Service,No,4.0,9.0,9.1,0.75
13681,fffe31003000380037003100,2008-09-04,Female,Service,Yes,2.0,3.0,5.3,0.31
847,fffe32003400330033003100,2008-01-13,Male,Product,Yes,1.0,3.0,5.7,0.44
22175,fffe31003200390036003600,2008-10-31,Male,Service,Yes,2.0,5.0,8.7,0.69
7657,fffe3100390032003600,2008-09-03,Male,Product,No,3.0,6.0,7.8,0.62
537,fffe32003700300034003200,2008-03-03,Male,Product,Yes,2.0,5.0,6.5,0.51
21448,fffe3300380038003300,2008-10-09,Male,Product,No,0.0,1.0,3.6,0.17
3682,fffe32003200370030003800,2008-03-24,Female,Product,Yes,1.0,2.0,4.1,0.18
7248,fffe3500350038003700,2008-07-11,Male,Service,Yes,3.0,6.0,8.9,0.79
11411,fffe3900350035003900,2008-09-07,Female,Service,Yes,1.0,2.0,3.9,0.24
11075,fffe3200310033003600,2008-04-15,Female,Service,Yes,5.0,9.0,9.5,1.0
17424,fffe3300310031003200,2008-04-05,Male,Service,Yes,2.0,4.0,5.6,0.54
22302,fffe33003000390038003300,2008-01-14,Female,Service,Yes,0.0,1.0,3.3,0.17
19907,fffe31003700330033003700,2008-08-05,Female,Product,No,2.0,5.0,6.5,0.49
9075,fffe32003600340038003600,2008-02-09,Male,Service,Yes,3.0,6.0,7.1,0.53
11628,fffe33003400360033003600,2008-01-01,Female,Product,Yes,2.0,4.0,5.6,0.45
13212,fffe32003500340039003000,2008-07-02,Female,Service,Yes,2.0,5.0,4.5,0.37
17486,fffe3300310037003400,2008-10-20,Female,Service,Yes,3.0,4.0,7.2,0.5
2532,fffe32003600340033003100,2008-04-14,Female,Service,Yes,2.0,6.0,6.6,0.63
11064,fffe32003000320035003000,2008-06-02,Female,Service,Yes,2.0,4.0,4.8,0.41
20989,fffe31003200300031003100,2008-05-09,Female,Product,Yes,1.0,2.0,1.9,0.14
8449,fffe33003200390038003800,2008-02-13,Female,Product,Yes,3.0,4.0,5.0,0.38
13498,fffe31003500380033003300,2008-10-06,Male,Service,No,3.0,7.0,6.5,0.54
15277,fffe32003100350038003900,2008-08-22,Male,Product,No,2.0,4.0,5.3,0.34
5479,fffe31003800350030003300,2008-12-22,Male,Service,No,3.0,6.0,6.8,0.57
17104,fffe3100340039003400,2008-08-24,Male,Service,Yes,2.0,5.0,8.0,0.59
6558,fffe3800370037003200,2008-12-30,Female,Service,No,2.0,5.0,6.1,0.58
14746,fffe33003400360034003000,2008-04-08,Female,Service,Yes,0.0,1.0,4.3,0.28
11744,fffe31003400330037003400,2008-04-02,Male,Service,Yes,2.0,5.0,4.1,0.34
1903,fffe3300340038003300,2008-10-13,Male,Service,Yes,2.0,4.0,6.2,0.5
6853,fffe33003200390030003800,2008-01-11,Female,Service,No,2.0,3.0,4.4,0.29
14883,fffe32003400390037003700,2008-11-01,Female,Product,Yes,2.0,4.0,3.9,0.33
20088,fffe3500350030003700,2008-06-29,Male,Service,No,3.0,7.0,5.6,0.52
12072,fffe3300340033003800,2008-06-22,Female,Product,No,2.0,5.0,7.2,0.57
20437,fffe33003000350037003700,2008-03-03,Male,Service,Yes,1.0,1.0,2.6,0.21
7856,fffe31003500360033003200,2008-10-20,Female,Service,Yes,3.0,4.0,5.1,0.35
7155,fffe31003400350037003500,2008-02-24,Female,Service,Yes,2.0,2.0,3.2,0.23
11354,fffe32003800360038003800,2008-10-29,Female,Service,Yes,1.0,3.0,5.3,0.37
13617,fffe3600370030003700,2008-10-25,Male,Service,No,3.0,6.0,6.7,0.6
4793,fffe33003100380032003400,2008-02-09,Male,Service,No,4.0,6.0,8.7,0.69
2531,fffe3800390039003600,2008-03-13,Male,Service,No,2.0,6.0,6.7,0.64
20302,fffe33003100310037003300,2008-04-04,Male,Service,No,1.0,2.0,5.0,0.28
11507,fffe31003200350036003900,2008-03-03,Female,Service,No,2.0,6.0,7.2,0.58
17653,fffe31003000340036003100,2008-02-11,Male,Service,No,3.0,5.0,5.5,0.47
15774,fffe33003100370038003600,2008-01-01,Male,Product,No,3.0,5.0,6.1,0.51
6367,fffe33003100340035003200,2008-05-26,Female,Service,Yes,2.0,4.0,6.5,0.5
22068,fffe31003100380031003000,2008-03-07,Male,Service,No,3.0,5.0,5.2,0.44
1568,fffe31003000390038003600,2008-01-26,Female,Service,No,1.0,2.0,3.1,0.22
4003,fffe33003300320037003600,2008-07-30,Male,Product,Yes,2.0,3.0,5.7,0.38
3511,fffe33003300320032003100,2008-02-11,Female,Service,Yes,2.0,5.0,7.3,0.55
7271,fffe32003500320030003500,2008-05-20,Female,Service,Yes,1.0,2.0,4.8,0.29
20294,fffe32003300360039003100,2008-07-21,Male,Service,Yes,0.0,2.0,2.1,0.17
8016,fffe33003300310032003600,2008-06-17,Female,Service,No,3.0,5.0,4.3,0.32
11299,fffe33003000380032003800,2008-05-31,Female,Product,Yes,0.0,1.0,0.9,0.04
12001,fffe3700370033003600,2008-02-01,Male,Product,Yes,3.0,7.0,7.2,0.59
5782,fffe32003300370030003600,2008-04-23,Female,Service,No,1.0,2.0,1.5,0.12
20819,fffe3400310039003900,2008-01-17,Male,Service,No,2.0,2.0,4.9,0.28
7521,fffe31003100330030003200,2008-01-18,Female,Service,Yes,0.0,1.0,0.9,0.08
4828,fffe3500300037003200,2008-04-27,Female,Product,No,0.0,1.0,2.6,0.16
13298,fffe32003700330034003700,2008-01-15,Female,Service,Yes,2.0,5.0,5.9,0.35
15390,fffe31003200380032003400,2008-06-18,Female,Service,No,2.0,4.0,6.3,0.54
17600,fffe31003300390032003500,2008-07-19,Male,Service,No,3.0,7.0,6.0,0.58
17470,fffe32003400330032003000,2008-11-16,Male,Product,No,2.0,5.0,7.2,0.56
191,fffe3900350033003600,2008-06-21,Male,Service,No,5.0,9.0,8.8,0.85
12611,fffe32003300310034003900,2008-11-16,Male,Product,Yes,0.0,1.0,1.3,0.09
10415,fffe310032003500,2008-06-26,Female,Service,Yes,3.0,5.0,5.5,0.4
13572,fffe31003000390034003000,2008-12-18,Male,Service,No,4.0,7.0,5.9,0.55
7659,fffe32003500300033003900,2008-09-07,Male,Product,Yes,1.0,3.0,3.1,0.24
5117,fffe32003400380033003400,2008-08-31,Male,Product,Yes,3.0,5.0,4.5,0.39
19092,fffe33003200330032003000,2008-08-27,Female,Service,Yes,2.0,6.0,7.0,0.58
10630,fffe33003100350035003300,2008-04-13,Male,Service,Yes,2.0,5.0,5.9,0.37
13837,fffe33003400320036003100,2008-01-13,Male,Product,Yes,3.0,5.0,7.3,0.57
16506,fffe32003100310035003900,2008-07-16,Male,Service,No,2.0,4.0,3.6,0.3
5162,fffe32003500,2008-03-20,Female,Service,Yes,1.0,3.0,5.5,0.39
10228,fffe31003300370038003100,2008-03-15,Female,Service,No,1.0,2.0,2.6,0.18
12324,fffe31003200330038003500,2008-08-02,Female,Service,No,2.0,3.0,4.2,0.22
12823,fffe32003000370039003600,2008-04-30,Male,Service,Yes,3.0,5.0,6.4,0.47
15067,fffe31003900340034003000,2008-04-08,Female,Service,Yes,4.0,8.0,8.0,0.69
22442,fffe32003000380031003700,2008-10-16,Female,Service,No,3.0,6.0,6.3,0.47
1690,fffe3300300036003000,2008-03-29,Male,Product,Yes,2.0,4.0,6.2,0.39
11724,fffe33003300370033003200,2008-07-25,Male,Service,Yes,3.0,4.0,5.5,0.37
13250,fffe3900370031003700,2008-06-27,Female,Service,Yes,2.0,4.0,4.7,0.35
4982,fffe33003300300031003200,2008-09-28,Female,Product,Yes,0.0,1.0,0.9,0.05
854,fffe31003500310035003900,2008-10-20,Male,Service,No,3.0,5.0,6.9,0.67
1303,fffe3100340038003300,2008-08-30,Female,Product,No,2.0,4.0,4.2,0.31
9827,fffe31003000380036003000,2008-03-29,Female,Product,No,3.0,7.0,6.8,0.52
10952,fffe3500330034003300,2008-02-03,Male,Service,No,2.0,4.0,5.6,0.48
1047,fffe32003600350038003900,2008-09-06,Male,Service,No,4.0,7.0,7.6,0.57
1310,fffe31003300370032003300,2008-04-14,Female,Service,No,2.0,5.0,5.9,0.57
15649,fffe3600350030003100,2008-02-11,Female,Product,Yes,2.0,4.0,5.8,0.44
10829,fffe3200310031003400,2008-09-26,Female,Product,No,2.0,5.0,6.2,0.59
5012,fffe3600300036003700,2008-04-10,Male,Service,No,2.0,6.0,7.0,0.65
6952,fffe31003900370036003800,2008-11-01,Female,Product,No,4.0,7.0,7.7,0.55
22551,fffe350038003400,2008-06-13,Female,Service,No,1.0,4.0,5.5,0.42
19428,fffe32003800380037003100,2008-07-25,Female,Service,No,1.0,3.0,5.3,0.38
32,fffe32003400340039003400,2008-10-11,Female,Service,No,0.0,1.0,3.0,0.19
6589,fffe33003100380031003900,2008-10-07,Female,Service,Yes,2.0,4.0,5.5,0.48
11478,fffe3600390035003500,2008-06-01,Female,Service,Yes,1.0,2.0,2.9,0.1
16710,fffe32003900350034003400,2008-08-07,Male,Product,No,2.0,4.0,6.4,0.58
18725,fffe3500320035003500,2008-03-22,Male,Service,No,3.0,6.0,6.5,0.64
22373,fffe3400300035003000,2008-05-23,Female,Product,Yes,1.0,1.0,3.1,0.19
4719,fffe31003000380038003000,2008-06-21,Male,Product,No,1.0,3.0,5.5,0.41
19909,fffe32003800390032003200,2008-10-16,Male,Service,Yes,0.0,2.0,2.7,0.2
18883,fffe31003200350031003700,2008-08-18,Male,Product,Yes,5.0,10.0,9.1,1.0
1032,fffe31003300300034003200,2008-04-15,Male,Service,Yes,4.0,8.0,9.6,0.83
841,fffe3500300030003000,2008-04-07,Female,Service,Yes,3.0,7.0,8.8,0.83
10550,fffe31003800310031003300,2008-03-25,Female,Service,Yes,2.0,4.0,6.7,0.48
14319,fffe31003900380030003000,2008-07-01,Male,Service,Yes,1.0,3.0,2.2,0.14
10164,fffe32003400360031003700,2008-07-31,Female,Product,No,3.0,6.0,7.1,0.6
19943,fffe32003100370032003300,2008-09-12,Male,Service,Yes,1.0,3.0,4.9,0.37
12363,fffe33003400320031003300,2008-12-12,Female,Service,Yes,3.0,6.0,6.9,0.49
2498,fffe3600360034003300,2008-11-01,Female,Product,No,0.0,1.0,0.0,0.0
2284,fffe33003400340034003400,2008-01-11,Female,Service,No,2.0,3.0,3.5,0.24
